t_ms,raw_mV,agc_mV
0.000,1426,1801
2.000,1420,1786
4.000,1419,1767
6.000,1422,1745
8.000,1424,1719
10.000,1422,1690
12.000,1434,1658
14.000,1451,1625
16.000,1461,1590
18.000,1480,1554
20.000,1506,1518
22.000,1534,1482
24.000,1554,1447
26.000,1584,1413
28.000,1611,1382
30.000,1644,1352
32.000,1672,1326
34.000,1691,1303
36.000,1733,1283
38.000,1752,1268
40.000,1779,1257
42.000,1804,1250
44.000,1826,1248
46.000,1836,1251
48.000,1855,1258
50.000,1870,1269
52.000,1872,1285
54.000,1880,1305
56.000,1871,1328
58.000,1873,1355
60.000,1865,1385
62.000,1851,1417
64.000,1845,1451
66.000,1821,1486
68.000,1799,1522
70.000,1789,1559
72.000,1758,1595
74.000,1739,1630
76.000,1703,1663
78.000,1678,1695
80.000,1654,1724
82.000,1615,1749
84.000,1601,1772
86.000,1562,1790
88.000,1536,1805
90.000,1511,1815
92.000,1491,1821
94.000,1466,1822
96.000,1451,1818
98.000,1442,1810
100.000,1429,1797
102.000,1422,1780
104.000,1427,1759
106.000,1419,1734
108.000,1424,1706
110.000,1413,1676
112.000,1438,1642
114.000,1454,1607
116.000,1478,1571
118.000,1482,1534
120.000,1511,1497
122.000,1536,1460
124.000,1564,1425
126.000,1595,1391
128.000,1620,1359
130.000,1642,1330
132.000,1669,1304
134.000,1713,1281
136.000,1734,1263
138.000,1755,1248
140.000,1794,1238
142.000,1809,1233
144.000,1831,1233
146.000,1837,1237
148.000,1865,1246
150.000,1857,1259
152.000,1876,1277
154.000,1872,1299
156.000,1880,1324
158.000,1874,1353
160.000,1863,1385
162.000,1853,1419
164.000,1841,1455
166.000,1821,1492
168.000,1792,1530
170.000,1773,1568
172.000,1749,1606
174.000,1727,1642
176.000,1691,1677
178.000,1668,1710
180.000,1640,1740
182.000,1596,1766
184.000,1584,1789
186.000,1556,1809
188.000,1516,1824
190.000,1507,1834
192.000,1482,1840
194.000,1469,1841
196.000,1444,1837
198.000,1431,1829
200.000,1429,1816
202.000,1418,1799
204.000,1422,1777
206.000,1423,1752
208.000,1425,1724
210.000,1437,1693
212.000,1439,1659
214.000,1466,1624
216.000,1480,1587
218.000,1505,1549
220.000,1530,1512
222.000,1555,1475
224.000,1581,1439
226.000,1608,1405
228.000,1644,1373
230.000,1662,1344
232.000,1690,1318
234.000,1722,1295
236.000,1754,1277
238.000,1777,1263
240.000,1792,1253
242.000,1807,1248
244.000,1833,1247
246.000,1855,1251
248.000,1866,1260
250.000,1862,1274
252.000,1879,1291
254.000,1879,1313
256.000,1871,1338
258.000,1865,1367
260.000,1855,1398
262.000,1838,1432
264.000,1817,1467
266.000,1808,1503
268.000,1791,1541
270.000,1764,1578
272.000,1737,1614
274.000,1703,1649
276.000,1670,1683
278.000,1654,1714
280.000,1620,1743
282.000,1604,1768
284.000,1565,1790
286.000,1543,1808
288.000,1516,1821
290.000,1493,1830
292.000,1476,1834
294.000,1460,1834
296.000,1440,1829
298.000,1431,1820
300.000,1424,1806
302.000,1415,1788
304.000,1422,1766
306.000,1414,1741
308.000,1427,1712
310.000,1437,1681
312.000,1455,1647
314.000,1469,1612
316.000,1490,1576
318.000,1514,1540
320.000,1537,1503
322.000,1563,1468
324.000,1589,1433
326.000,1616,1401
328.000,1649,1370
330.000,1671,1343
332.000,1698,1319
334.000,1732,1299
336.000,1760,1282
338.000,1781,1270
340.000,1802,1263
342.000,1828,1259
344.000,1842,1261
346.000,1857,1267
348.000,1865,1278
350.000,1871,1293
352.000,1872,1312
354.000,1870,1335
356.000,1873,1361
358.000,1855,1390
360.000,1855,1422
362.000,1838,1456
364.000,1810,1491
366.000,1792,1527
368.000,1779,1564
370.000,1756,1600
372.000,1725,1635
374.000,1698,1669
376.000,1672,1701
378.000,1647,1730
380.000,1611,1756
382.000,1575,1779
384.000,1562,1799
386.000,1533,1814
388.000,1505,1824
390.000,1484,1831
392.000,1466,1832
394.000,1457,1829
396.000,1434,1822
398.000,1429,1810
400.000,1424,1793
402.000,1411,1773
404.000,1415,1748
406.000,1421,1721
408.000,1437,1690
410.000,1440,1658
412.000,1459,1623
414.000,1475,1587
416.000,1499,1550
418.000,1526,1513
420.000,1540,1477
422.000,1571,1441
424.000,1602,1407
426.000,1623,1375
428.000,1649,1346
430.000,1689,1320
432.000,1704,1297
434.000,1734,1278
436.000,1765,1264
438.000,1792,1253
440.000,1813,1248
442.000,1822,1247
444.000,1842,1250
446.000,1865,1259
448.000,1858,1271
450.000,1871,1288
452.000,1881,1310
454.000,1875,1334
456.000,1868,1362
458.000,1843,1393
460.000,1850,1426
462.000,1822,1461
464.000,1814,1497
466.000,1787,1534
468.000,1768,1571
470.000,1732,1607
472.000,1712,1643
474.000,1692,1676
476.000,1661,1707
478.000,1630,1736
480.000,1604,1762
482.000,1575,1783
484.000,1550,1801
486.000,1515,1815
488.000,1499,1824
490.000,1479,1829
492.000,1458,1829
494.000,1438,1824
496.000,1429,1815
498.000,1427,1801
500.000,1421,1783
502.000,1415,1761
504.000,1422,1735
506.000,1429,1707
508.000,1434,1675
510.000,1448,1641
512.000,1461,1606
514.000,1480,1569
516.000,1495,1532
518.000,1522,1494
520.000,1550,1458
522.000,1573,1422
524.000,1604,1389
526.000,1643,1358
528.000,1673,1329
530.000,1698,1304
532.000,1724,1282
534.000,1752,1265
536.000,1763,1251
538.000,1797,1242
540.000,1822,1238
542.000,1830,1239
544.000,1850,1244
546.000,1859,1254
548.000,1872,1268
550.000,1876,1286
552.000,1872,1309
554.000,1869,1334
556.000,1861,1363
558.000,1857,1395
560.000,1840,1429
562.000,1821,1464
564.000,1808,1501
566.000,1774,1538
568.000,1763,1574
570.000,1740,1610
572.000,1700,1645
574.000,1681,1678
576.000,1649,1708
578.000,1616,1736
580.000,1602,1760
582.000,1553,1781
584.000,1541,1797
586.000,1516,1809
588.000,1494,1817
590.000,1476,1820
592.000,1451,1818
594.000,1431,1812
596.000,1431,1801
598.000,1421,1785
600.000,1418,1766
602.000,1420,1742
604.000,1421,1715
606.000,1423,1685
608.000,1444,1653
610.000,1451,1618
612.000,1479,1582
614.000,1493,1545
616.000,1518,1508
618.000,1529,1471
620.000,1559,1435
622.000,1588,1400
624.000,1621,1367
626.000,1640,1337
628.000,1676,1310
630.000,1712,1286
632.000,1735,1266
634.000,1763,1251
636.000,1790,1239
638.000,1796,1232
640.000,1824,1230
642.000,1846,1233
644.000,1857,1240
646.000,1865,1252
648.000,1873,1269
650.000,1877,1289
652.000,1869,1313
654.000,1864,1341
656.000,1857,1372
658.000,1849,1405
660.000,1833,1440
662.000,1823,1477
664.000,1792,1514
